Longitud de onda (nm),Absorbancia GOTAS LIMPIAR LENTES
862.85,0.195
863.11,0.198
863.369,0.199
863.628,0.2
863.887,0.199
864.146,0.198
864.404,0.197
864.662,0.2
864.92,0.203
865.178,0.203
865.436,0.199
865.694,0.192
865.951,0.186
866.208,0.184
866.465,0.186
866.721,0.192
866.978,0.197
867.234,0.198
867.49,0.198
867.746,0.194
868.002,0.189
868.257,0.184
868.512,0.183
868.767,0.185
869.022,0.185
869.276,0.187
869.531,0.191
869.785,0.198
870.039,0.202
870.292,0.203
870.546,0.2
870.799,0.194
871.052,0.189
871.304,0.187
871.557,0.192
871.809,0.196
872.061,0.2
872.313,0.204
872.565,0.204
872.816,0.202
873.067,0.198
873.318,0.192
873.569,0.184
873.819,0.183
874.069,0.184
874.319,0.186
874.569,0.187
874.818,0.188
875.068,0.191
875.317,0.195
875.565,0.197
875.814,0.194
876.062,0.19
876.31,0.186
876.558,0.184
876.806,0.187
877.053,0.194
877.3,0.199
877.547,0.202
877.793,0.201
878.04,0.197
878.286,0.194
878.532,0.193
878.777,0.193
879.023,0.197
879.268,0.201
879.512,0.205
879.757,0.204
880.001,0.202
880.245,0.198
880.489,0.196
880.733,0.193
880.976,0.194
881.219,0.192
881.462,0.188
881.705,0.188
881.947,0.186
882.189,0.184
882.431,0.181
882.673,0.184
882.914,0.188
883.155,0.192
883.396,0.195
883.636,0.196
883.877,0.195
884.117,0.19
884.356,0.186
884.596,0.185
884.835,0.186
885.074,0.187
885.313,0.187
885.552,0.183
885.79,0.182
886.028,0.183
886.266,0.188
886.503,0.19
886.74,0.189
886.977,0.187
887.214,0.186
887.451,0.186
887.687,0.186
887.923,0.185
888.159,0.184
888.394,0.183
888.629,0.178
888.864,0.177
889.099,0.18
889.333,0.182
889.568,0.178
889.802,0.175
890.035,0.171
890.269,0.168
890.502,0.174
890.735,0.186
890.968,0.192
891.2,0.193
891.432,0.189
891.664,0.183
891.896,0.176
892.128,0.169
892.359,0.17
892.59,0.177
892.821,0.182
893.051,0.187
893.282,0.191
893.512,0.192
893.741,0.19
893.971,0.184
894.2,0.177
894.429,0.173
894.658,0.173
894.887,0.171
895.115,0.17
895.344,0.17
895.572,0.171
895.799,0.168
896.027,0.167
896.254,0.167
896.481,0.169
896.708,0.174
896.934,0.184
897.161,0.192
897.387,0.196
897.613,0.196
897.839,0.195
898.064,0.191
898.289,0.183
898.515,0.177
898.739,0.174
898.964,0.17
899.189,0.168
899.413,0.167
899.637,0.165
899.861,0.161
900.084,0.159
900.308,0.158
900.531,0.157
900.754,0.158
900.977,0.163
901.2,0.167
901.422,0.169
901.645,0.173
901.867,0.177
902.089,0.175
902.31,0.173
902.532,0.173
902.753,0.174
902.975,0.175
903.196,0.177
903.417,0.178
903.638,0.174
903.858,0.17
904.079,0.166
904.299,0.163
904.519,0.163
904.739,0.165
904.959,0.168
905.179,0.171
905.398,0.173
905.617,0.173
905.837,0.174
906.056,0.171
906.275,0.171
906.494,0.171
906.713,0.167
906.931,0.165
907.15,0.166
907.368,0.163
907.586,0.16
907.805,0.158
908.023,0.153
908.241,0.147
908.459,0.149
908.677,0.15
908.894,0.152
909.112,0.157
909.329,0.164
909.547,0.171
909.764,0.173
909.982,0.172
910.199,0.17
910.416,0.169
910.633,0.17
910.85,0.17
911.068,0.165
911.285,0.159
911.502,0.159
911.718,0.161
911.935,0.165
912.152,0.166
912.369,0.164
912.586,0.16
912.803,0.157
913.02,0.159
913.236,0.16
913.453,0.159
913.67,0.158
913.887,0.155
914.104,0.148
914.321,0.143
914.538,0.142
914.754,0.146
914.971,0.156
915.188,0.164
915.405,0.168
915.623,0.171
915.84,0.173
916.057,0.171
916.274,0.17
916.492,0.168
916.709,0.165
916.927,0.163
917.144,0.162
917.362,0.158
917.58,0.154
917.798,0.15
918.016,0.145
918.234,0.142
918.453,0.142
918.671,0.143
918.89,0.146
919.108,0.149
919.327,0.153
919.547,0.155
919.766,0.158
919.985,0.159
920.205,0.154
920.425,0.149
920.645,0.144
920.865,0.142
921.085,0.141
921.306,0.141
921.527,0.143
921.748,0.146
921.969,0.146
922.191,0.145
922.413,0.148
922.635,0.15
922.857,0.15
923.08,0.148
923.303,0.143
923.526,0.137
923.75,0.132
923.974,0.128
924.198,0.129
924.422,0.129
924.647,0.124
924.873,0.123
925.098,0.12
925.324,0.115
925.55,0.112
925.777,0.113
926.004,0.116
926.232,0.12
926.46,0.122
926.688,0.119
926.917,0.116
927.146,0.115
927.376,0.112
927.606,0.114
927.836,0.117
928.067,0.116
928.299,0.115
928.531,0.115
928.763,0.117
928.996,0.12
929.23,0.119
929.464,0.115
929.699,0.112
929.934,0.108
930.17,0.105
930.406,0.102
930.643,0.097
930.88,0.093
931.119,0.094
931.357,0.093
931.597,0.09
931.837,0.089
932.077,0.088
932.319,0.092
932.561,0.101
932.804,0.11
933.047,0.114
933.291,0.11
933.536,0.104
933.782,0.099
934.028,0.093
934.275,0.091
934.523,0.092
934.772,0.093
935.021,0.096
935.272,0.1
935.523,0.102
935.775,0.104
936.028,0.103
936.281,0.099
936.536,0.092
936.792,0.087
937.048,0.082
937.305,0.08
937.563,0.076
937.823,0.072
938.083,0.066
938.344,0.06
938.606,0.055
938.869,0.054
939.133,0.055
939.398,0.057
939.665,0.062
939.932,0.067
940.2,0.07
940.47,0.069
940.74,0.067
941.012,0.064
941.285,0.065
941.559,0.07
941.834,0.074
942.11,0.074
942.388,0.074
942.666,0.07
942.946,0.068
943.227,0.071
943.51,0.072
943.794,0.076
944.079,0.078
944.365,0.076
944.653,0.072
944.942,0.077
945.232,0.083
945.524,0.088
945.817,0.094
946.112,0.099
946.408,0.099
946.705,0.096
947.004,0.091
947.305,0.083
947.607,0.075
947.91,0.072
948.215,0.069
948.522,0.067
948.83,0.068
949.139,0.071
949.451,0.073
949.764,0.077
950.079,0.078
